topic	official	v1	v2	v3	v4	v5
1	What is the origin of COVID-19	origin of covid-19	origin of COVID-19	origin of covid-19	origin of COVID-19	
2	How does the coronavirus respond to changes in the weather	weather effect on coronavirus	How COVID-19 respond to change	how does weather affect covid	coronavirus response weather changes	
3	Will sars-cov2 infected people develop immunity? Is cross protection possible?	immunity after covid infection possible?	sars-cov2 infected immunity	COVID infection and immunity	Is cross protection possible?	
4	What causes death from COVID-19?	What causes death from COVID-19?	how does covid cause death	causes death from COVID-19	causes death from COVID-19	What causes death from COVID-19?
5	What drugs have been active against SARS-CoV or sars-cov-2 in animal websites?	drugs  SARS-CoV or sars-cov-2 in animal	sars-cov-2 in animal	drugs against sar-cov in animals websites	drugs  active against SARS-CoV   sars-cov-2	Efficacy drugs animal testing Covid-19
6	What types of rapid testing for COVID-19 have been developed?	types of rapid covid tests	COVID rapid testing	rapid testing for COVID-19		
7	Are there serological tests that detect antibodies to coronavirus?	COVID ANTIBODY TESTS	serological tests  detect coronavirus?	serological tests that detect antibodies	coronavirus serological tests detect antibodies	serological tests antibodies covid
8	How has lack of testing availability led to underreporting of true incidence of COVID-19?	lack of testing underreporting covid19	lack of testing underreporting covid	testing availability  underreporting covid19	lack of testing availability covid	lack of testing underreporting covid
9	How has COVID-19 affected Canada	How has COVID-19 affected Canada	How has COVID-19 affected canada	COVID-19 affected Canada	How has COVID-19 affected Canada	COVID-19 affected Canada
10	Has social distancing had an impact on slowing the spread of COVID-19?	social distancing effect on covid spread	has social distancing slowed Covid-19 spread?	slowing the spread of COVID-19?	slowing the spread of COVID-19	spread of COVID-19
11	What are the guidelines for triaging patients infected with coronavirus?	triaging patients infected with covid	triaging patients infected with coronavirus	guidelines for triaging patients infected	Triage patients with coronavirus	triaging patients infected with coronavirus?
12	What are best practices in hospitals and at home in maintaining quarantine?	best practices maintaining quarantine	Hospital protocol for quarantine	maintaining quarantine	maintaining quarantine best practices hospitals homes	
13	What are the transmission routes of coronavirus?	what are transmission routes ofcoronavirus	transmission routes of coronavirus	transmission routes of coronavirus	COVID transmission	transmission routes of coronavirus
14	What evidence is there related to COVID-19 superspreaders	covid superspreaders evidence	COVID superspreaders	COVID-19 superspreaders	COVID-19 superspreaders	
15	How long can the coronavirus live outside the body	How long can covid-19 liveoutsidethebody	cancoronavirus live outside the body	can the coronavirus live	coronavirus live outside the body	coronavirus live outside body time
16	How long does coronavirus remain stable on surfaces?	corona virus stable surface time	coronavirus remain stable on surfaces	how long coronavirus remain	time covid stays on surface	
17	Are there any clinical trials available for the coronavirus	covid-19 available clinical trials	clinical trials available coronavirus	Are any clinical trials forcovid-19	corona clinical trials available	COVID clinical trial availability
18	What are the best masks for preventing infection by COVID-19?	Best Covid 19 masks	What best masks to preventCOVID-19	best masks covid	best masks for preventingcovid	most efficient covid masks
19	What type of hand sanitizer is needed to destroy COVID-19?	What type sanitizer to destroyCOVID-19	hand sanitizer to destroy COVID-19	what sanitizer kills corona virus?	hand sanitizer covid19	hand sanitizer covid
20	Are patients taking angiotensin-converting enzyme inhibitors (ace) at increased risk for COVID-19?	Are Aces atincreased risk for Covid19	Patients take angiotensin for covid-19	Does taking ace increase covid risk?	angiotensin-converting enzyme inhibitors	aking angiotensin-converting enzyme inhibitors covid
21	What are the mortality rates overall and in specific populations	total mortality rates of populations	mortality rates overall	covid mortality rates specific pop	corona mortality rates specific populations	
22	Are cardiac complications likely in patients with COVID-19?	cardiac complications covid19	Are cardiac comlications likely patientswithCOVID-19	cardiac complications covid	COVID and heart	
23	What kinds of complications related to COVID-19 are associated with hypertension?	covid19 and hypertension	covid 19 hypertension	Hypertension and Covid-19	hypertension COVID-19 complications	
24	What kinds of complications related to COVID-19 are associated with diabetes	COVID diabetic complications	Complications to diabetics with coronavirus	COVID-19 are associated with diabetes	covid-19 complications diabetes	
25	Which biomarkers predict the severe clinical course of 2019-ncov infection?	biomarkers predict course 2019-ncov infection	Severe covid and biomarkers	biomarker predictors covid clinical course		
26	What are the initial symptoms of COVID-19?	What are the initial symptomsofCOVID-19?	initial symptoms of COVID-19	initial symptoms of COVID-19	covid-19 initial symptoms	covid-19 initial symptoms
27	What is known about those infected with COVID-19 but are asymptomatic?	asymptomatic infected with covid	information on asymptomatic spread covid	COVID-19 but are asymptomatic		
28	What evidence is there for the value of hydroxychloroquine in treating COVID-19?	what evidence value of hydroxychloroquine incovid-19	hydroxychloroquine covid evidence	COVID AND HYDROXYCHLOROQUINE	hydroxychloroquine evidence treating COVID-19	hydroxychloroquine in treating COVID-19
29	Which sars-cov-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?	sars-cov-sars 2 proteins drugs	COVID protein drug targets	Drug targets approved for sars-cov-2 proteins	sars-cov-2 proteins-human proteins interactions indicate potential drug targets repurposed drugs	
30	Is remdesivir an effective treatment for COVID-19	Is remdesivir an effective treatment	is remdesivir effective for covid	Is remdesivir treatment for COVID-19	remdesivir an effective treatment	remdesivir an effective treatment COVID-19
31	How does the coronavirus differ from seasonal flu?	How does covid-19 differ seasonal	covid vs. the flu	how does covid differ flu	coronavirus differ from seasonal flu	
32	Does sars-cov-2 have any subtypes, and if so what are they?	Does sars-cov-2 have any subtypes	What are subtypes of sars-cov-2	sars-cov-2 have any subtypes	sars-cov-2 have any subtypes,	does sars-cov-2 have subtypes
33	What vaccine candidates are being tested for COVID-19?	What vaccine are tested forCOVID-19	what companies are testing vaccinesforCovid19	vaccine candidates tested for COVID-19?	vaccines tested for covid19	Testing Candidates covid-19 vaccination
34	What are the longer-term complications of those who recover from COVID-19?	who recover from COVID-19?	covid-19 long term recovery complications	longer-term complications covid	longer-term complications recovery covid	longer-term complications of covid
35	What new public datasets are available related to COVID-19?	where is public covid data?	public datasetsCOVID-19	COVID-19 new public datasets		
36	What is the protein structure of the sars-cov-2 spike?	what is the protien structureofsars-cov-2spike	sars-cov-2 spike protein structure	protein structure of the sars-cov-2	protein structure of sars-cov-2 spike	
37	What is the result of phylogenetic analysis of sars-cov-2 genome sequence?	phylogenetic analysis sars-cov-2 genome results	phylogenetic analyis sars-cov-2 genome sequence	COVID PHYLOGENETIC ANALYSIS	phylogenetic analysis sars-cov-2 genome sequence	Genome sequence result: sars-cov-2
38	What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?	mechanism forinflammatory response in covid cases	flammatory response and pathogenesis of COVID-19	inflammatory response and pathogenesis covid	inflammatory response pathogenesis mechanism COVID-19 cases	
39	What is the mechanism of cytosine storm syndrome on the COVID-19?	COVID and cytosine storm	cytosine storm syndrome and covid-19	cytokine storm syndrome mechanism covid-19		
40	What are the observed mutations in the sars-cov-2 genome and how often do the mutations occur?	COVID mutations	observed mutations in the sars-cov-2 genome	sars-cov-2 genome how often do mutations occur	mutations in the sars-cov-2 genome and frequency	
